id,title,content,kategori,id_pasangan
hoaks_1,[HOAKS] Presiden Prabowo Bebaskan Ammar Zoni dari Lapas Nusakambangan,"Penjelasan : Beredar sebuah unggahan video di media sosial Facebook yang berisi klaim Presiden Prabowo membebaskan Ammar Zoni dari Lembaga Pemasyarakatan (Lapas) Nusakambangan. Faktanya, klaim tersebut adalah tidak benar. Dilansir dari turnbackhoax.id, setelah menelusuri tangkapan layar konten yang menampilkan potret Hotman Paris menggunakan Google Lens, hasilnya mengarah ke video di kanal YouTube KOMPASTV berjudul ""Presiden Prabowo Subianto Telepon Hotman Paris Bahas Masalah Ini”, tayang Senin, 2 Desember 2024. Konteks asli video adalah momen Presiden Prabowo menelepon Hotman Paris (tokoh pengacara) karena prihatin dengan banyaknya perusahaan di Indonesia yang terancam pailit. Lebih lanjut, dengan memasukkan kata kunci “Prabowo bebaskan Ammar Zoni dari Nusakambangan” ke mesin pencarian Google. Hasil penelusuran mengarah ke sejumlah pemberitaan yang tidak saling berkaitan. Sepanjang penelusuran tidak ditemukan informasi dari sumber kredibel yang membenarkan klaim dalam unggahan tersebut. Link Counter : https://turnbackhoax.id/2025/10/29/salah-prabowo-bebaskan-ammar-zoni-dari-lapas-nusakambangan/ https://www.youtube.com/watch?v=xuAS5kpLEJk https://video.tribunnews.com/news/878024/pengacara-ammar-zoni-minta-tolong-presiden-prabowo-tak-terima-kliennya-dipindah-ke-nusakambangan",hoaks,fakta_1
fakta_1,5 Fakta Penangkapan Ammar Zoni yang Terjerat Kasus Narkoba,Aktor Ammar Zoni ditetapkan sebagai tersangka kepemilikan sabu. Polisi menangkap Ammar setelah menangkap sopirnya yang membawa 1 gram sabu pesanan Ammar. Ammar mengaku salah dan meminta maaf kepada keluarganya dan masyarakat. Ancaman hukuman minimal 4 tahun maksimal 12 tahun penjara.,fakta,hoaks_1
hoaks_2,[HOAKS] Tautan Pendaftaran Bansos Digital,"Penjelasan : Beredar unggahan di media sosial berisi tautan pendaftaran bansos digital. Informasi tersebut diunggah salah satu akun Facebook pada 24 Oktober 2025. Faktanya, klaim tersebut tidak benar. Tautan tersebut mengarah pada halaman situs yang menampilkan formulir digital yang meminta data pribadi, seperti nama dan nomor Telegram dan terindikasi phising atau penipuan. Dikutip dari liputan6.com, penelusuran mengarah pada artikel dari Liputan6.com berjudul ""Digitalisasi Penerima Bansos Segera Diterapkan Secara Nasional"" yang tayang pada 3 Oktober 2025. Dalam artikel tersebut dijelaskan bahwa Banyuwangi ditetapkan sebagai pilot project digitalisasi bantuan sosial (bansos) oleh pemerintah pusat. Uji coba pendaftaran penerima bansos dengan sistem digital dimulai sejak 18 September 2025. Dikutip dari situs banyuwangikab.go.id dan akun Instagram @dinsosppkb.banyuwangi, dijelaskan bahwa pendaftaran bansos cara baru ini bisa dilakukan dengan melalui Portal Perlindungan Sosial (Perlinsos) di alamat www.perlinsos.kemensos.go.id dan agen perlinsos. Link Counter : https://www.liputan6.com/cek-fakta/read/6190892/cek-fakta-tidak-benar-link-pendaftaran-bansos-pkh-2025-via-telegram?page=4 https://banyuwangikab.go.id/berita/uji-coba-piloting-digitalisasi-bansos-dimulai-di-banyuwangi-sistem-baru-dinilai-lebih-tepat-sasaran https://www.instagram.com/p/DO-PUBhEha4/?igsh=MWZhdmRnNHdwN3JvbA%3D%3D",hoaks,fakta_2
fakta_2,Bansos Siap Cair! Cek Nama Kamu di Cekbansos.kemensos.go.id,"Pemerintah akan memberikan dua jenis bantuan sosial sekaligus berupa BLT dan bansos bahan pokok jelang Ramadhan kepada penerima PKH pada bulan Maret. Pemerintah juga sedang menyiapkan bantuan bahan pokok terdiri dari beras, telur, dan ayam selama tiga bulan. Penerima bantuan bisa dicek melalui situs cekbansos.kemensos.go.id dan mengajukan diri jika belum terdaftar. Masyarakat juga dapat menghubungi nomor 021-171.",fakta,hoaks_2
hoaks_3,[HOAKS] Indonesia Lolos Piala Dunia Lewat Jalur Wild Card FIFA,"Penjelasan : Beredar unggahan di media sosial Facebook berisi narasi yang mengeklaim bahwa Federasi Sepak Bola Internasional (FIFA) resmi mengumumkan bahwa Indonesia resmi masuk Piala Dunia 2026 melalui jalur wild card. Faktanya, klaim tersebut adalah tidak benar. Dilansir dari tirto.id, tidak ada informasi maupun bukti kredibel yang disertakan oleh pengunggah dalam klaim tersebut. Unggahan itu hanya menampilkan kolase foto yang berisi potret skuad Tim Nasional (Timnas) Indonesia, foto Presiden Prabowo Subianto bersama Presiden FIFA Gianni Infantino, serta foto Presiden Prabowo dengan Presiden Amerika Serikat Donald Trump. Namun demikian, seluruh unggahan visual tersebut sama sekali tidak memiliki keterkaitan atau kekuatan bukti terhadap klaim yang disampaikan. Link Counter : https://tirto.id/hoaks-indonesia-lolos-piala-dunia-lewat-jalur-wild-card-fifa-hkfz",hoaks,fakta_3
fakta_3,Menpora Ungkap FIFA Bakal Audit Vanue Piala Dunia U-20 21-27 Maret 2023,"FIFA akan melakukan audit vanue perhelatan Piala Dunia U-20 di 6 kota di Indonesia pada 21-27 Maret 2023. Menteri Pemuda dan Olahraga, Zainudin Amali, meminta agar pemerintah daerah mempersiapkan dengan matang vanue tersebut. PSSI mendapatkan catatan dari FIFA tentang stadion yang akan digunakan dengan 6 stadion yang menjadi vanue utama. FIFA telah memberikan catatan minus untuk semua stadion tersebut dan harus segera dibenahi sebelum FIFA datang melakukan audit.",fakta,hoaks_3
hoaks_4,[HOAKS] Sri Mulyani Beri Peringatan Keras untuk Purbaya,"Penjelasan : Beredar sebuah unggahan di media sosial yang mengeklaim mantan Menteri Keuangan Sri Mulyani disebut mengeluarkan peringatan keras untuk Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa. Faktanya, klaim dengan narasi Sri Mulyani mengeluarkan peringatan keras untuk Purbaya adalah hoaks. Dilansir dari kompas.com, Sri Mulyani memang memberikan pesan khusus kepada Purbaya saat serah terima jabatan Menkeu pada 9 September 2025, tetapi tidak ada kalimat atau pernyataan bernada marah. Sri Mulyani juga berpesan kepada jajaran pegawai Kemenkeu untuk terus mengelola dan menjaga keuangan negara dengan semaksimal mungkin untuk masyarakat Indonesia. Link Counter : https://www.kompas.com/cekfakta/read/2025/10/23/121800682/-hoaks-sri-mulyani-beri-peringatan-keras-untuk-purbaya https://money.kompas.com/read/2025/09/09/132319926/minta-maaf-saat-sertijab-menkeu-ini-pesan-terakhir-sri-mulyani",hoaks,fakta_4
fakta_4,"Bingung Soal Transaksi Rp300 T, Sri Mulyani Siap Temui Mahfud","Menteri Keuangan Sri Mulyani kebingungan dengan klaim transaksi gelap senilai Rp 300 triliun di Kementerian Keuangan yang disampaikan Mahfud Md. Sri Mulyani akan mengkonfirmasi langsung kepada Mahfud mengenai klaim tersebut. Dari 196 surat yang diterima dari PPATK, tak ada satupun yang berbicara mengenai nominal uang dalam klaim tersebut dan masih ada 70 surat yang memerlukan keterangan tambahan dari Kementerian Keuangan.",fakta,hoaks_4
hoaks_5,[HOAKS] Megawati Soekarnoputri Tidak Rela Sitaan Korupsi Dikembalikan ke Negara,"Penjelasan: Beredar sebuah unggahan di media sosial Facebook yang mengeklaim Presiden ke-5 Republik Indonesia Megawati Soekarnoputri disebut tidak rela melihat uang Rp13 triliun hasil sitaan korupsi dikembalikan ke negara. Video tersebut memuat klip Megawati berkata, “Tidak. Tidak. Tidak. Dan, dan...konstitusi itu paling tinggi lho.” Faktanya, klaim dalam unggahan tersebut tidak benar atau hoaks. Dilansir dari kompas.com , setelah ditelusuri Megawati Soekarnoputri tidak hadir saat Kejagung memamerkan Rp2,3 triliun dari total Rp13,255 triliun uang sitaan dari kasus korupsi terkait minyak sawit mentah atau CPO. Pernyataan Megawati dalam klip tersebut berasal dari pidatonya saat penutupan Kongres ke-6 Partai Demokrasi Indonesia Perjuangan (PDIP) di Nusa Dua, Bali, pada 2 Agustus 2025. Namun, pernyataan Megawati telah dipotong dan dibagikan tanpa konteks utuh sehingga mengesankan Ketua Umum PDIP itu menolak pengembalian sitaan korupsi ke negara. Link Counter: https://www.kompas.com/cekfakta/read/2025/10/23/084800882/-hoaks-megawati-tidak-rela-sitaan-korupsi-dikembalikan-ke-negara",hoaks,fakta_5
fakta_5,Megawati Imbau Kades Pilih Presiden Seperti Jokowi,"Megawati Soekarnoputri meminta para kepala desa memilih calon presiden dengan kriteria seperti Jokowi dan menyarankan mereka jangan sampai terbawa arus menjelang tahun politik. Selain itu, Megawati juga memperingati para kepala desa agar tidak menyalahgunakan wewenang dan mempertimbangkan kemampuan keuangan negara sebelum meminta alokasi dana desa.",fakta,hoaks_5
